ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-236.15173401777815	-236.15173401777815	-236.15173401777815	-236.15173401777815
1	-236.1466598570771	-236.16249845153428	-236.14383362519303	-236.12516879885277
2	-236.14406390862945	-236.17296713270048	-236.1407159131949	-236.10985043641054
3	-236.13881186102606	-236.1809510498039	-236.13604633361297	-236.09313990820291
4	-236.14187466085056	-236.19537781827924	-236.13925579862138	-236.08665853835555
5	-236.19852991719418	-236.26370854737462	-236.1992654168107	-236.13996448894372
6	-236.14074535218347	-236.21152884518312	-236.13712033448246	-236.0690131705247
7	-236.13649311517952	-236.21919381895884	-236.1377377026649	-236.06526819693792
8	-236.1955389901347	-236.28772910063444	-236.2012479052034	-236.12533393861725
9	-236.19520653076898	-236.2871200988251	-236.20093276582412	-236.1253239489733
10	-236.19468886261365	-236.28732734359713	-236.20084332518704	-236.12492666350877
