Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	12:13:45	12:13:45	12:13:45			12:13:45	12:13:46	12:13:49	12:13:49	12:13:49	12:14:27	12:14:27	12:14:27	12:14:27	12:14:27	12:14:27			12:14:32	12:14:32		00:00:00		00:00:02	00:00:03	00:00:38	00:00:00	00:00:00		00:00:04	00:00:46
1	12:14:32	12:14:32	12:14:32	12:14:32	12:20:34	12:20:34	12:20:35	12:20:38	12:20:38	12:20:38	12:21:17	12:21:17	12:21:17	12:21:17	12:21:17	12:21:17			12:21:21	12:21:21		00:00:00	00:06:02	00:00:02	00:00:03	00:00:39	00:00:00	00:00:00		00:00:03	00:06:49
2	12:21:21	12:21:21	12:21:21	12:21:21	12:28:18	12:28:18	12:28:19	12:28:22	12:28:22	12:28:22	12:29:02	12:29:02	12:29:02	12:29:02	12:29:02	12:29:02			12:29:05	12:29:05		00:00:00	00:06:56	00:00:02	00:00:03	00:00:40	00:00:00	00:00:00		00:00:03	00:07:43
3	12:29:05	12:29:05	12:29:05	12:29:05	12:36:15	12:36:15	12:36:16	12:36:19	12:36:19	12:36:19	12:36:57	12:36:57	12:36:57	12:36:57	12:36:57	12:36:57			12:37:01	12:37:01		00:00:00	00:07:09	00:00:03	00:00:04	00:00:38	00:00:00	00:00:00		00:00:03	00:07:55
4	12:37:01	12:37:01	12:37:01	12:37:01	12:42:12	12:42:12	12:42:12	12:42:16	12:42:16	12:42:16	12:42:55	12:42:55	12:42:55	12:42:55	12:42:55	12:42:55			12:42:58	12:42:58		00:00:00	00:05:10	00:00:03	00:00:04	00:00:39	00:00:00	00:00:00		00:00:03	00:05:57
5	12:42:58	12:42:58	12:42:58	12:42:58	12:49:11	12:49:11	12:49:12	12:49:16	12:49:16	12:49:16	12:49:48	12:49:48	12:49:48	12:49:48	12:49:48	12:49:48			12:49:52	12:49:52		00:00:00	00:06:12	00:00:03	00:00:04	00:00:32	00:00:00	00:00:00		00:00:03	00:06:53
6	12:49:52	12:49:52	12:49:52	12:49:52	12:58:31	12:58:31	12:58:33	12:58:37	12:58:37	12:58:37	12:59:16	12:59:16	12:59:16	12:59:16	12:59:16	12:59:16			12:59:22	12:59:22		00:00:00	00:08:39	00:00:04	00:00:05	00:00:39	00:00:00	00:00:00		00:00:06	00:09:30
7	12:59:22	12:59:22	12:59:22	12:59:22	13:06:53	13:06:53	13:06:54	13:06:58	13:06:58	13:06:58	13:07:32	13:07:32	13:07:32	13:07:32	13:07:32	13:07:32			13:07:37	13:07:37		00:00:00	00:07:31	00:00:04	00:00:05	00:00:33	00:00:00	00:00:00		00:00:04	00:08:14
8	13:07:37	13:07:37	13:07:37	13:07:37	13:15:26	13:15:26	13:15:27	13:15:31	13:15:31	13:15:31	13:16:03	13:16:03	13:16:03	13:16:03	13:16:03	13:16:03			13:16:08	13:16:08		00:00:00	00:07:49	00:00:03	00:00:04	00:00:31	00:00:00	00:00:00		00:00:04	00:08:31
9	13:16:08	13:16:08	13:16:08	13:16:08	13:16:08	13:16:08	13:16:08	13:16:12	13:16:12	13:16:12	13:16:48	13:16:48	13:16:48	13:16:48	13:16:48	13:16:48			13:16:53	13:16:53		00:00:00	00:00:00	00:00:03	00:00:04	00:00:35	00:00:00	00:00:00		00:00:04	00:00:45
10	13:16:53	13:16:53	13:16:53	13:16:53	13:16:53	13:16:53	13:16:54	13:16:57	13:16:57	13:16:57	13:17:33	13:17:33	13:17:34	13:17:34	13:17:34	13:17:34	13:17:36	13:17:36	13:18:03	13:18:03		00:00:00	00:00:00	00:00:03	00:00:04	00:00:36	00:00:00	00:00:00	00:00:00	00:00:29	00:01:10
